Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L8507376;24/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;CARRO HORARIO;R$ 290,00;3;15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (2,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (5,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (2,53 MT)
L126010006;25/08/2026;MASCILON;Faturado;CRATEUS;AGENDADA;NORMAL;R$ 141,00;1;"24746 - PISO KARINA REF. 67019 ""A"" 60 X 60 LUMINE GOLD ESM (2,48 MT)"
L126010009;25/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 2.392,00;11;"20828 - NUMERO ALTAS PARA CASA ADESIVO 3 ACM ESP (2,00 UN) | 21875 - PORTA MADELAR STAND GIRO UV MOGNO F4 80 X 2,10 (2,00 UN) | 20834 - NUMERO ATLAS PARA CASA ADESIVO 9 ACM ESP (1,00 UN) | 22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (11,15 MT) | 20832 - NUMERO ATLAS PARA CASA ADESIVO 7 ACM ESP (1,00 UN) | 24746 - PISO KARINA REF. 67019 ""A"" 60 X 60 LUMINE GOLD ESM (12,40 MT) | 14902 - ESPACADOR CORTAG NIVELADOR REVEST/PISOS VERM (3,00 UN) | 5815 - REJ PRETO GRAFITE QUARTZOLIT-1Kg (1,00 KG) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (11,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (2,00 UN) | 20829 - NUMERO ATLAS PARA CASA ADESIVO 4 ACM ESP (2,00 UN)"
L126010011;25/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 110,70;1;12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (3,00 UN)
L126010012;25/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 675,00;4;"24852 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""C"" (20,70 MT) | 15869 - ESPACADOR CORTAG JUNTAPISO 4MM 100PÇS (1,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (10,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (4,00 UN)"
L126010014;25/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 6.138,43;7;"12889 - PISO CERBRAS LUMINATTO BLANCO POLIDO 56 X 56 ""A"" (26,28 MT) | 22708 - PORC. ELIZABETH OASIS GL 60 X 120 PO ESM POL (6,48 MT) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (25,00 UN) | 14902 - ESPACADOR CORTAG NIVELADOR REVEST/PISOS VERM (4,00 UN) | 22981 - PORC. ELIZABETH BRANCO PARANA 70 X 70 A PO POLIDO (26,95 MT) | 23730 - PORC. ELIZABETH 70 X 70 PB1 PARANA BRANCO ESM ACETINADO (7,35 MT) | 11906 - REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD (5,00)"
L126010015;25/08/2026;MIKHAELL;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 276,90;1;5625 - PIA GHELPLUS INOX 1,50MT (1,00 UN)
L126010022;25/08/2026;MIKHAELL;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 2.457,00;1;3792 - TELA COLUNA 8,00MM 7 X 14CM 6M AÇO CEARENSE (30,00 UN)
L126010027;25/08/2026;MASCILON;Faturado;IPAPORANGA;AGENDADA;NORMAL;R$ 269,55;1;24719 - PISO CERBRAS PALAZZO POLIDO HD 75 X 75 A (4,50 MT)
L126010042;25/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 2.332,88;5;"16790 - MANTA QUARTZOLIT LIQUIDA BRANCA 4,5 KG (1,00 UN) | 24753 - PISO KARINA REF. 60332 ""A"" PIETRASANTA RET (37,20 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (19,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (8,00 UN) | 17826 - ESPACADOR NIVELADOR SLIM 2,0 MM VERDE CORTAG (4,00 UN)"
L126010044;25/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 398,00;1;24404 - IMPERMEABILIZANTE BFM ACRILICO 3XR VEDABEM 18KG - BRANCO (1,00 UN)
L126010046;25/08/2026;CAMILA;Faturado;INDEPENDENCIA;ENTREGUE;URGENTE;R$ 97,00;1;23883 - TELHA FORTLEV COLONIAL 1,98 X 0,88 6 OND MARFIM (1,00 UN)
L126010055;25/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 1.752,08;1;24719 - PISO CERBRAS PALAZZO POLIDO HD 75 X 75 A (29,25 MT)
L126010057;25/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 137,31;1;"24852 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""C"" (6,90 MT)"
L12609721;25/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 2.561,80;2;"8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (30,00 UN) | 22001 - PORC. TECHNATTO CREMA MATTE 70 X 70 ""A"" CERBRAS (32,00 MT)"
L12609845;25/08/2026;LEONARDO;Faturado;REALEJO;ENTREGUE;NORMAL;R$ 13.708,84;6;24719 - PISO CERBRAS PALAZZO POLIDO HD 75 X 75 A (148,50 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (86,00 UN) | 8594 - CUBA GHELPLUS INOX N2 PROF.140 POLIDA (1,00 UN) | 13793 - FECH. SOPRANO EXTERNE POP LINE CROMADA SLIM (1,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (73,37 MT) | 3516 - REJUNTE QUARTZOLIT PORCELANATO PALHA 1KG (20,00 UN)
L12609962;25/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 3.858,40;1;"17267 - PORC. CERBRAS OLIMPO POLIDO 70 X 70 ""A"" (56,00 MT)"
L12609973;25/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 267,60;1;18965 - PORC. CERBRAS NETUNO GRIS POLIDO HD 70 X 70 A (4,00 MT)
L12609974;25/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 114,87;2;"10559 - PISO CERBRAS NEVE 46 X 46 ""A"" (2,30 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (1,00 UN)"
L12609990;25/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 370,00;2;"10559 - PISO CERBRAS NEVE 46 X 46 ""A"" (4,60 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (6,00 UN)"
L12609996;25/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 8.560,00;3;7366 - PISO CERBRAS AURORA BR 46 X 46 ''C'' (250,70 MT) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (125,00 UN) | 5815 - REJ PRETO GRAFITE QUARTZOLIT-1Kg (45,00 KG)
L12609997;25/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 138,00;1;"21532 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""C"" (6,90 MT)"
L8507334;25/08/2026;KAYLLANE;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 887,00;3;"8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (12,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (23,00 MT) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (4,00 UN)"
L8507379;25/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 327,37;2;"22356 - PISO KARINA REF. 75014 RET 75 X 75 ONIX PINK HD (2,23 MT) | 21810 - PISO KARINA ONIX BLACK RET REF. 75027 ""A"" 75 X 75 (2,23 MT)"
